HomeTeam,AwayTeam,FTR,HomeShoot,AwayShoot,HomeCorner,AwayCorner,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeWin,AwayWin,HomeDraw,AwayDraw,HomeLoss,AwayLoss,B365H,B365D,B365A
Bayern Munich,Ein Frankfurt,A,78,35,23,12,29,57,4,10,0,0,3,1,0,2,1,1,1.16,8.0,15.0
Bielefeld,Leverkusen,A,43,55,15,20,55,33,9,6,0,1,0,3,3,1,1,0,5.0,4.0,1.61
Hoffenheim,FC Koln,H,44,50,18,15,49,48,6,8,0,1,2,0,1,2,1,2,2.0,3.9,3.3
Dortmund,Mainz,H,76,46,27,17,40,59,7,11,0,0,5,1,0,0,0,3,1.4,5.0,7.5
Ein Frankfurt,Hertha,A,61,41,26,15,49,71,7,10,0,0,0,2,3,0,1,3,1.75,3.8,4.5
Freiburg,RB Leipzig,D,52,58,18,33,49,49,2,9,0,0,2,0,2,2,0,2,4.0,4.0,1.85
Greuther Furth,Bochum,A,50,40,18,15,63,69,12,9,0,1,0,1,1,0,3,4,2.37,3.5,2.9
Union Berlin,Wolfsburg,H,58,48,19,14,54,61,7,8,0,0,3,2,2,0,0,2,2.7,3.25,2.7
M'gladbach,Stuttgart,D,73,33,20,11,48,56,10,15,0,1,2,0,2,3,0,1,1.5,4.75,6.0
Leverkusen,Bayern Munich,A,47,77,21,24,39,39,12,1,0,1,2,3,0,1,2,0,4.75,4.6,1.6
Augsburg,Bielefeld,D,42,46,21,13,41,53,5,4,0,1,1,0,1,2,2,2,2.25,3.2,3.4
